"MAKE","MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Eicher ","EIC-188","268813","236556","208169","187352","172364","162022","152301","143163","134573","126499","118909","111774","105068","98764","92838","64987","61087","57422","53977","50738"
"Escorts ","FARMTRAC 30 HERO","408799","367919","334807","308022","286461","269273","253117","237930","223654","210235","197620","185763","174617","164140","154292","108004","101524","95433","89707","84324"
"Escorts ","FARMTRAC 60","761670","693120","637670","593033","551521","518430","487324","458084","430599","404763","380478","357649","336190","316019","297057","207940","195464","183736","172712","162349"
"Escorts ","FARMTRAC 65","619413","557472","507299","466716","434045","408003","383523","360511","338881","318548","299435","281469","264581","248706","233783","163648","153830","144600","135924","127768"
"Escorts ","FARMTRAC XP 37 CHAMPION","521066","479380","441030","405747","377345","354704","333422","313417","294612","276935","260319","244700","230018","216217","203244","142271","133734","125710","118168","111078"
"Escorts ","FT 6055","756265","688201","633145","588825","547607","514750","483865","454834","427543","401891","377777","355111","333804","313776","294949","206465","194077","182432","171486","161197"
"Escorts ","FARMTRAC 41","670196","616581","567254","521874","485343","456222","428849","403118","378931","356195","334823","314734","295850","278099","261413","182989","172010","161689","151988","142869"
"Escorts ","FT-50","764944","703748","647448","595653","553957","520719","489476","460108","432501","406551","382158","359229","337675","317414","298370","208859","196327","184548","173475","163066"
"Escorts ","FT-60 Powermaxx","803310","722979","657911","605278","562908","529134","497386","467543","439490","413121","388333","365033","343131","322543","303191","212234","199500","187530","176278","165701"
"Escorts ","FT-50 Powermaxx","716843","616485","536342","482708","434437","408371","383869","360837","339186","318835","299705","281723","264819","248930","233994","163796","153968","144730","136046","127884"
"John Deere","JD 5045 D","667380","613990","564870","519681","483303","454305","427047","401424","377338","354698","333416","313411","294607","276930","260314","182220","171287","161010","151349","142268"
"John Deere","JD 5042","631964","581407","534895","492103","457656","430196","404385","380122","357314","335875","315723","296780","278973","262234","246500","172550","162197","152465","143317","134718"
"John Deere","JD 5050D","731155","672663","618850","569342","529488","497719","467855","439784","413397","388593","365278","343361","322759","303394","285190","199633","187655","176396","165812","155863"
"John Deere","JD 5055 E","728642","670350","616722","567385","527668","496008","466247","438272","411976","387257","364022","342181","321650","302351","284210","198947","187010","175789","165242","155328"
"John Deere","JD 5310","831112","748000","680680","626226","582390","547447","514600","483724","454700","427418","401773","377667","355007","333707","313684","219579","206404","194020","182379","171436"
"John Deere","JD-5060 ","774000","665640","579107","521196","469077","440932","414476","389608","366231","344257","323602","304186","285935","268779","252652","176856","166245","156270","146894","138080"
"John Deere","JD-5210 ","746869","679651","625279","581509","540803","508355","477854","449183","422232","396898","373084","350699","329657","309878","291285","203899","191665","180166","169356","159194"
"M&M","MAHINDRA 215","373135","343284","315822","290556","270217","254004","238764","224438","210972","198313","186414","175230","164716","154833","145543","101880","95767","90021","84620","79543"
"M&M","MAHINDRA 255 DI ","396242","348693","306850","276165","254072","238827","224498","211028","198366","186464","175276","164760","154874","145582","136847","95793","90045","84643","79564","74790"
"M&M","MAHINDRA 275 DI","647270","595489","547849","504022","468740","440616","414179","389328","365968","344010","323370","303967","285729","268586","252470","176729","166126","156158","146789","137981"
"M&M","MAHINDRA 475 DI","767593","706186","649691","597716","555876","522523","491172","461701","433999","407959","383482","360473","338845","318514","299403","209582","197007","185187","174076","163631"
"M&M","MAHINDRA 575 DI","765437","704202","647866","596036","554314","521055","489792","460404","432780","406813","382404","359460","337892","317619","298562","208993","196454","184666","173586","163171"
"M&M","MAHINDRA 605 DI","916284","842981","775542","713499","663554","623741","586316","551137","518069","486985","457766","430300","404482","380213","357400","250180","235169","221059","207796","195328"
"M&M","MAHINDRA 585 ","757139","688997","633877","589505","548240","515346","484425","455359","428038","402356","378214","355521","334190","314139","295290","206703","194301","182643","171684","161383"
"M&M","MAHINDRA 415","622296","547620","481906","433715","399018","375077","352572","331418","311533","292841","275270","258754","243229","228635","214917","150442","141415","132931","124955","117457"
"M&M","MAHINDRA 225","429136","377639","332323","299090","275163","258653","243134","228546","214833","201943","189827","178437","167731","157667","148207","103745","97520","91669","86169","80999"
"New Holland","NH3037","610440","549396","499951","459955","427758","402092","377967","355289","333971","313933","295097","277391","260748","245103","230397","161278","151601","142505","133955","125917"
"New Holland","NH3032","549343","494408","449912","413919","384944","361848","340137","319729","300545","282512","265561","249628","234650","220571","207337","145136","136428","128242","120547","113315"
"New Holland","NH3600","784235","721496","663776","610674","567927","533851","501820","471711","443408","416804","391796","368288","346191","325419","305894","214126","201278","189202","177849","167179"
"New Holland","NH3230","689950","627854","577626","537192","499589","469613","441437","414950","390053","366650","344651","323972","304534","286262","269086","188360","177059","166435","156449","147062"
"New Holland","NH3630","860298","774268","704584","648217","602842","566671","532671","500711","470668","442428","415882","390930","367474","345425","324700","227290","213652","200833","188783","177456"
"New Holland","NH4510","550653","495588","450985","414906","385863","362711","340948","320491","301262","283186","266195","250223","235210","221097","207831","145482","136753","128548","120835","113585"
"New Holland","NH4710","725024","652522","593795","546291","508051","477568","448914","421979","396660","372860","350489","329460","309692","291110","273644","191551","180058","169254","159099","149553"
"New Holland","NH5500","843967","742691","653568","588211","541154","508685","478164","449474","422506","397155","373326","350926","329871","310079","291474","204032","191790","180282","169465","159298"
"Power Trac","POWERTRAC 425","499352","449417","408970","376252","349914","328919","309184","290633","273195","256804","241395","226912","213297","200499","188469","131928","124013","116572","109578","103003"
"Power Trac","POWERTRAC 434","575786","518207","471568","433843","403474","379265","356510","335119","315012","296111","278344","261644","245945","231188","217317","152122","142995","134415","126350","118769"
"Power Trac","POWERTRAC 445","715827","644244","586262","539361","501606","471510","443219","416626","391628","368131","346043","325280","305763","287418","270173","189121","177774","167107","157081","147656"
"Power Trac","POWERTRAC 439","670032","616429","567115","521746","485224","456110","428744","403019","378838","356108","334741","314657","295777","278031","261349","182944","171968","161649","151950","142833"
"Power Trac","PT-EURO 45  PLUS","717322","645590","587487","540488","502654","472495","444145","417496","392446","368900","346766","325960","306402","288018","270737","189516","178145","167456","157409","147964"
"Power Trac","PT Euro 50 ","826454","743809","676866","622717","579126","544379","511716","481013","452152","425023","399522","375550","353017","331836","311926","218348","205247","192933","181357","170475"
"Power Trac","PT-435 Plus","524047","450680","392092","352882","317594","298539","280626","263789","247961","233084","219099","205953","193596","181980","171061","119743","112558","105805","99456","93489"
"Power Trac","PT-437","576148","507011","446169","401552","369428","347263","326427","306841","288431","271125","254857","239566","225192","211680","198980","139286","130929","123073","115688","108747"
"Power Trac","PT- EURO 42 PLUS","499352","449417","408970","376252","349914","328919","309184","290633","273195","256804","241395","226912","213297","200499","188469","131928","124013","116572","109578","103003"
"Power Trac","PT- EURO 37  ","518545","466691","424688","390713","363363","341562","321068","301804","283696","266674","250673","235633","221495","208205","195713","136999","128779","121052","113789","106962"
"Power Trac","PT- EURO 55","767117","659721","573957","516562","464905","437011","410790","386143","362974","341196","320724","301481","283392","266388","250405","175284","164767","154881","145588","136852"
"Power Trac","PT- EURO 60","798958","687104","597780","538002","484202","455150","427841","402170","378040","355358","334036","313994","295154","277445","260798","182559","171605","161309","151631","142533"
